species,sp,subspecies,description_citation,genus,group,subfamily,common_name,max_length_mm,length_measure,mass_g,phylo,dist_map,occ_recs,diet_recs,countries,notes,citations
Agkistrodon_bilineatus,Abili,,Günther 1863,Agkistrodon,NW_Crotalinae,Crotalinae,"Cantil, Mexican Moccasin; German: Mexikanische Mokassinschlange",1380,TL,1330.6,,X,,,El Salvador; Guatemala; Honduras; Mexico,,
Agkistrodon_conanti,Acona,,Gloyd 1969,Agkistrodon,NW_Crotalinae,Crotalinae,Florida Cottonmouth; German: Florida-Wassermokassinotter,1892,TL,3333.04,,X,,,United States of America,Size taken from A. piscivorus,
Agkistrodon_contortrix,Acont,Agkistrodon contortrix contortrix; Agkistrodon contortrix mokasen; Agkistrodon contortrix phaeogaster,Linnaeus 1766,Agkistrodon,NW_Crotalinae,Crotalinae,"Southern Copperhead [contortrix], Northern Copperhead [mokasen], Osage Copperhead [phaeogaster]; German: Kupferkopf",1350,TL,1248.16,,X,,,United States of America,,
Agkistrodon_howardgloydi,Ahowa,,Conant 1984,Agkistrodon,NW_Crotalinae,Crotalinae,Gloyd’s Moccasin; German: Gloyds Mokassinschlange,960,TL,462.82,,X,,,Costa Rica; El Salvador; Honduras; Nicaragua,,
Agkistrodon_laticinctus,Alati,Agkistrodon laticinctus laticinctus; Agkistrodon laticinctus pictigaster,Gloyd & Conant 1934,Agkistrodon,NW_Crotalinae,Crotalinae,"Broad-banded Copperhead [contortrix], Trans-Pecos Copperhead [pictigaster]; German: Breitband-Kupferkopf",1350,TL,1248.16,,X,,,Mexico; United States of America,Size taken from A. contortrix,
Agkistrodon_piscivorus,Apisc,Agkistrodon piscivorus piscivorus; Agkistrodon piscivorus leucostoma,Lacépède 1789,Agkistrodon,NW_Crotalinae,Crotalinae,"Northern Cottonmouth [piscivorus], Western Cottonmouth [leucostoma]; German: Wasser-Mokassinotter; German: Östliche Wasser-Mokassinotter [piscivorus]; German: Westliche Wassermokassinotter [leucostoma]",1892,TL,3333.04,,X,,,United States of America,,
Agkistrodon_russeolus,Aruss,,Gloyd 1972,Agkistrodon,NW_Crotalinae,Crotalinae,"Cantil, Mexican Moccasin; German: Mexikanische Mokassinschlange",1050,TL,600.7,,X,,,Belize; Guatemala; Mexico,,
Agkistrodon_taylori,Atayl,,Burger & Robertson 1951,Agkistrodon,NW_Crotalinae,Crotalinae,Mexican Moccasin,960,TL,462.82,,X,,,Mexico,,
Atheris_acuminata,Aacum,,Broadley 1998,Atheris,Viperinae,Viperinae,Acuminate bush viper,440,TL,47.8,,roll,,,Uganda,,
Atheris_anisolepis,Aanis,,Mocquard 1887,Atheris,Viperinae,Viperinae,Mayombe Bush-Viper,600,TL,117.87,,roll,,,Angola; Democratic Republic of the Congo; Gabon; Republic of the Congo,,
Atheris_barbouri,Abarb,,Loveridge 1930,Atheris,Viperinae,Viperinae,Uzungwe Mountain Bush Viper,369,TL,28.64,,roll,,,United Republic of Tanzania,,
Atheris_broadleyi,Abroa,,Lawson 1999,Atheris,Viperinae,Viperinae,,770,TL,243.61,,roll,,,Cameroon; Central African Republic,,
Atheris_ceratophora,Acera,,Werner 1896,Atheris,Viperinae,Viperinae,"German: Usambara-Buschviper, Gehörnte Buschviper",550,TL,91.51,,roll,,,United Republic of Tanzania,,
Atheris_chlorechis,Achlo,,Pel 1852,Atheris,Viperinae,Viperinae,,700,TL,184.6,,roll,,,Benin; Cameroon; Ghana; Guinea; Ivory Coast; Liberia; Nigeria; Sierra Leone; Togo,,
Atheris_desaixi,Adesa,,Ashe 1968,Atheris,Viperinae,Viperinae,Mt Kenya Bush Viper,700,TL,184.6,,roll,,,Kenya,,
Atheris_hirsuta,Ahirs,,Ernst & Rödel 2002,Atheris,Viperinae,Viperinae,Bristly Tree Viper,480,TL,61.58,,roll,,,Ivory Coast,,
Atheris_hispida,Ahisp,,Laurent 1955,Atheris,Viperinae,Viperinae,African Hairy Bush Viper,735,TL,212.76,,roll,,,Democratic Republic of the Congo; Kenya; Rwanda; Uganda; United Republic of Tanzania,,
Atheris_katangensis,Akata,,De Witte 1953,Atheris,Viperinae,Viperinae,Katanga Mountain Bush Viper,400,TL,36.22,,roll,,,Democratic Republic of the Congo,,
Atheris_mabuensis,Amabu,,Branch & Bayliss 2009,Atheris,Viperinae,Viperinae,,384,TL,32.17,,roll,,,Mozambique,,
Atheris_matildae,Amati,,"Menegon, Davenport & Howell 2011",Atheris,Viperinae,Viperinae,Matilda's Horned Viper,643,TL,144.18,,roll,,,Malawi; United Republic of Tanzania,,
Atheris_mongoensis,Among,,Collet & Trape 2020,Atheris,Viperinae,Viperinae,"F: Vipère arboricole mongo, Mongo Hairy Bush Viper, Mongo: Yété (also for Atheris squamigera)",,,,,,,,,,
Atheris_nitschei,Anits,,Tornier 1902,Atheris,Viperinae,Viperinae,Great Lakes Bush Viper,750,TL,225.65,,roll,,,Burundi; Democratic Republic of the Congo; Rwanda; Uganda; United Republic of Tanzania,,
Atheris_rungweensis,Arung,,Bogert 1940,Atheris,Viperinae,Viperinae,Mt Rungwe bush viper,642,TL,143.52,,roll,,,Malawi; United Republic of Tanzania; Zambia,,
Atheris_squamigera,Asqua,,Hallowell 1854,Atheris,Viperinae,Viperinae,"Variable Bush Viper, African Bush Viper, Rough-scaled Bush Viper; German: Rankschuppige Buschviper",780,TL,252.93,,roll,,,Angola; Cameroon; Central African Republic; Democratic Republic of the Congo; Equatorial Guinea; Gabon; Ivory Coast; Kenya; Nigeria; Republic of the Congo; Rwanda; S. Sudan; Uganda; United Republic of Tanzania,,
Atheris_subocularis,Asubo,,Fischer 1888,Atheris,Viperinae,Viperinae,,650,TL,148.79,,roll,,,Cameroon,,
Atropoides_picadoi,Apica,,Dunn 1939,Atropoides,NW_Crotalinae,Crotalinae,Picado's Pit Viper; German: Picados Springlanzenotter,1202,TL,890.27,,X,,,Costa Rica; Panama,,
Azemiops_feae,Afeae,,Boulenger 1888,Azemiops,Azemiopinae,Azemiopinae,"Fea Viper, Black-headed Burmese viper; German: Fea-Viper; Chinese: 黑头蝰",925,TL,415.41,,roll,,,China; India; Myanmar; Vietnam,,
Azemiops_kharini,Akhar,,"Orlov, Ryabov & Nguyen 2013",Azemiops,Azemiopinae,Azemiopinae,"White-headed Fea Viper, White-headed Burmese viper; German: Weisskopf-Fea-Viper; Chinese: 白头蝰",980,TL,491.44,,roll,,,China; Laos; Myanmar; Vietnam,,
Bitis_albanica,Balba,,Hewitt 1937,Bitis,Viperinae,Viperinae,Albany Adder,310,TL,17.25,,roll,,,South Africa,,
Bitis_arietans,Barie,Bitis arietans arietans (Merrem 1820); Bitis arietans somalica (Parker 1949),Merrem 1820,Bitis,Viperinae,Viperinae,Puff Adder; German: Gemeine Puffotter,1850,TL,3122.26,,roll,,,Angola; Benin; Botswana; Burkina Faso; Burundi; Cameroon; Central African Republic; Chad; Democratic Republic of the Congo; Djibouti; Equatorial Guinea; Eritrea; Ethiopia; Gabon; Gambia; Ghana; Guinea; Guinea Bissau; Ivory Coast; Kenya; Lesotho; Malawi; Mali; Morocco; Mozambique; Namibia; Niger; Nigeria; Oman; Republic of the Congo; Rwanda; S. Sudan; Saudi Arabia; Senegal; Sierra Leone; Somalia; Somaliland; South Africa; Sudan; Swaziland; Togo; Uganda; United Republic of Tanzania; Yemen; Zambia; Zimbabwe,,
Bitis_armata,Barma,,Smith 1826,Bitis,Viperinae,Viperinae,Southern Adder,414,TL,40.04,,roll,,,South Africa,,
Bitis_atropos,Batrop,Bitis atropos atropos (Linnaeus 1758); Bitis atropos unicolor (Fitzsimons 1959),Linnaeus 1758,Bitis,Viperinae,Viperinae,Mountain Adder; German: Bergotter,550,TL,91.51,,roll,,,Mozambique; South Africa; Swaziland; Zimbabwe,,
Bitis_caudalis,Bcaud,,Smith 1839,Bitis,Viperinae,Viperinae,Horned Adder; German: Gehörnte Puffotter,600,TL,117.87,,roll,,,Angola; Botswana; Namibia; South Africa; Zimbabwe,,
Bitis_cornuta,Bcorn,,Daudin 1803,Bitis,Viperinae,Viperinae,Many-horned Adder; German: Büschelbrauenotter,750,TL,225.65,,roll,,,Namibia; South Africa,,
Bitis_gabonica,Bgabo,,"Duméril, Bibron & Duméril 1854",Bitis,Viperinae,Viperinae,"Gaboon Adder, Gaboon Viper; German: Gabunviper",1800,TL,2882.99,,roll,,,Angola; Benin; Burundi; Cameroon; Central African Republic; Democratic Republic of the Congo; Equatorial Guinea; Gabon; Kenya; Malawi; Mozambique; Nigeria; Republic of the Congo; Rwanda; S. Sudan; South Africa; Swaziland; Uganda; United Republic of Tanzania; Zambia; Zimbabwe,,
Bitis_harenna,Bhare,,"Gower, Wade, Spawls, Böhme, Buechley, Sykes & Colston 2016",Bitis,Viperinae,Viperinae,Bale Mountains adder,,,,,,,,,,
Bitis_heraldica,Bhera,,Bocage 1889,Bitis,Viperinae,Viperinae,"Angolan adder, Bocage's Horned Adder (after FRANK & RAMUS 1995).",410,TL,38.92,,roll,,,Angola,,
Bitis_inornata,Binor,,Smith 1838,Bitis,Viperinae,Viperinae,"Plain Mountain Adder, Hornless Adder",350,TL,24.56,,roll,,,South Africa,,
